Table S1. The Gyeongju Hi-density Broadband Seismic Network (GHBSN) catalog,,,,,
EventID,Origin Time (UTC),Latitude (N),Longitude (E),Depth (km),Magnitude (ML)
299,2019-01-02T22:00:42.073,35.7633,129.1968,14,1
300,2019-01-03T22:17:50.107,35.7662,129.1943,12.4,0.8
301,2019-01-09T11:24:46.551,35.9271,129.4006,12.6,1.9
302,2019-01-09T20:31:06.092,35.7834,129.2057,14,2.7
303,2019-01-09T20:34:44.804,35.7872,129.2,13.7,0.6
304,2019-01-10T12:39:54.748,35.7648,129.1922,12.6,0.8
305,2019-01-14T14:15:34.765,35.7821,129.3052,14.5,0.5
306,2019-01-14T15:57:04.887,35.7929,129.2026,9.1,0.1
307,2019-01-19T04:38:48.228,35.7638,129.1951,14.7,0.7
308,2019-01-24T04:27:30.197,35.7181,129.4184,16.3,1.6
309,2019-01-25T09:40:57.039,35.7153,129.4174,16.1,1.4
310,2019-01-25T15:51:36.654,35.7214,129.4144,15,1.2
311,2019-01-25T22:14:28.921,35.7211,129.4081,14.1,1.3
312,2019-01-26T17:47:06.676,35.7289,129.3752,11.5,1.3
313,2019-01-27T13:52:16.376,35.7642,129.3647,8.8,0.7
314,2019-01-27T17:27:40.114,35.7656,129.3663,9.4,0.3
315,2019-01-29T10:58:48.458,35.7629,129.1974,13.7,0.5
316,2019-01-29T17:44:51.999,35.7396,129.2141,15.1,-0.2
317,2019-01-29T18:10:40.472,35.7951,129.1589,13.9,-0.2
318,2019-01-30T16:08:56.862,35.7721,129.3573,13.2,0
319,2019-01-30T19:41:13.170,35.7732,129.2045,14.3,-0.1
320,2019-01-31T10:11:49.901,35.7533,129.1885,7.8,-0.4
321,2019-01-31T14:54:23.919,35.8679,129.7105,15.8,0.8
322,2019-01-31T15:01:18.784,35.7943,129.3476,15.7,0
323,2019-01-31T20:10:24.377,35.8541,129.7851,15,1.1
324,2019-01-31T21:43:26.882,35.7664,129.2019,12.4,0
325,2019-02-01T17:51:17.072,35.7104,129.3633,11.5,1.1
326,2019-02-02T05:05:07.406,35.7677,129.1963,14.4,-0.1
327,2019-02-02T08:12:24.167,35.914,129.4017,12.8,0.4
328,2019-02-02T10:57:23.371,35.7556,129.1985,14.5,-0.3
329,2019-02-02T12:16:41.564,35.7625,129.1915,14.8,0.6
330,2019-02-02T14:47:33.602,35.7645,129.1942,15.9,-0.3
331,2019-02-02T15:46:31.740,35.7746,129.3869,11.1,-0.1
332,2019-02-02T18:26:37.105,35.7628,129.1927,14.9,-0.1
333,2019-02-02T19:05:06.011,35.728,129.1826,18.6,-0.3
