event_idx,event_time,year,n_const,ml_const_inv,ml_const
3299,2016-09-15 03:52:13.790000+00:00,2016,4,0.7705429770780705,0.7164405379886023
3300,2016-09-15 03:52:22.310000+00:00,2016,1,1.1871513821965602,1.1853383819459455
3301,2016-09-15 03:56:33.860000+00:00,2016,1,0.42605584853481865,0.41915861559108075
3302,2016-09-15 03:57:29.520000+00:00,2016,4,0.30609844824094345,0.2425442941145809
3303,2016-09-15 04:26:24.550000+00:00,2016,3,0.06271172496764894,0.055814492023911026
3304,2016-09-15 04:28:50.850000+00:00,2016,4,0.5389868539545208,0.47797481617471993
3305,2016-09-15 04:53:37.850000+00:00,2016,4,0.38385672780841534,0.3297542887189472
3306,2016-09-15 04:56:23.740000+00:00,2016,1,0.08273589182901506,0.07583865888527713
3307,2016-09-15 04:57:06.260000+00:00,2016,5,0.7326570460796342,0.7305254087898475
3308,2016-09-15 04:58:17.380000+00:00,2016,2,0.02351247112164269,0.036606789819297575
3309,2016-09-15 04:59:27.880000+00:00,2016,2,-0.24389097047883118,-0.2307966517811763
3310,2016-09-15 05:10:43.500000+00:00,2016,3,0.37786246357103215,0.389868660701083
3311,2016-09-15 05:41:08.630000+00:00,2016,2,-0.04189304470846644,-0.02625660966424989
3312,2016-09-15 05:47:19.980000+00:00,2016,4,0.3455800875291034,0.3020174850441336
3313,2016-09-15 05:56:29.260000+00:00,2016,2,-0.07435875175150475,-0.06126443305384986
3314,2016-09-15 05:56:58.020000+00:00,2016,2,-0.24171249275890105,-0.22861817406124618
3315,2016-09-15 05:59:51.830000+00:00,2016,3,0.46431253823859886,0.45741530529486096
3316,2016-09-15 06:00:53.770000+00:00,2016,1,-0.22573751901696565,-0.19265164867791795
3317,2016-09-15 06:15:13.940000+00:00,2016,2,-0.0819908855206063,-0.05944485178605702
3318,2016-09-15 06:15:29.410000+00:00,2016,4,0.46059947185424155,0.4211836095185495
