event_idx,event_time,year,n_used,ml_ufraw,ml_ufcorr
491,2013-11-18 18:25:23.520000+00:00,2013,2,0.39994992715524413,0.5396399978071269
495,2013-11-22 14:41:37.260000+00:00,2013,3,0.3258439631161278,0.42531244700855686
503,2013-12-07 19:26:53.280000+00:00,2013,1,-0.1488331163913017,0.08847629077576877
508,2013-12-16 19:18:51.960000+00:00,2013,2,0.2834358486735157,0.4231259193253984
509,2013-12-23 03:18:52.320000+00:00,2013,2,0.27672280157056905,0.4164128722224518
512,2013-12-26 17:55:06.400000+00:00,2013,2,0.050019474000262305,0.18970954465214504
513,2013-12-28 12:34:53.720000+00:00,2013,4,0.4675088922951862,0.5095796264318813
516,2014-01-02 21:19:22.480000+00:00,2014,5,0.8020550365008132,0.9262335127047223
518,2014-01-03 06:06:17.720000+00:00,2014,1,0.0911217068311975,0.32843111399826797
519,2014-01-04 22:23:32.710000+00:00,2014,1,-0.0211421255791588,0.02092860855753621
520,2014-01-05 00:28:13.750000+00:00,2014,3,0.3481267498244949,0.441509144991262
521,2014-01-05 01:23:19.190000+00:00,2014,6,0.6659902795067718,0.7929886256885738
523,2014-01-07 03:08:05.560000+00:00,2014,3,0.8303922480339219,1.0377673734893773
524,2014-01-07 05:43:58.340000+00:00,2014,2,0.13302028468490523,0.272710355336788
525,2014-01-08 03:24:01.500000+00:00,2014,4,0.5622421497078984,0.6869650795039737
529,2014-01-09 22:58:34.270000+00:00,2014,3,0.4389652706116609,0.4810360047483559
534,2014-01-16 05:20:33.520000+00:00,2014,1,0.0994371400272424,0.1415078741639374
541,2014-01-29 03:27:28.470000+00:00,2014,4,0.9032205662366263,1.0242587335637867
542,2014-01-29 06:56:27.630000+00:00,2014,3,0.4666818274335675,0.5351197056718899
543,2014-01-29 16:28:21.190000+00:00,2014,1,-0.0423585881996277,0.19495081896744276
544,2014-02-06 08:27:43.740000+00:00,2014,4,0.6181311376254353,0.8404734039366982
547,2014-02-18 02:09:45+00:00,2014,1,0.7351680909898992,0.7772388251265943
552,2014-02-28 19:59:25.930000+00:00,2014,5,1.0586847471104774,1.1809549367222554
554,2014-03-08 08:33:28.860000+00:00,2014,3,0.6442608980034941,0.7563854195831992
556,2014-03-10 18:35:10.610000+00:00,2014,2,0.0776807988135101,0.21737086946539283
557,2014-03-10 23:29:10.570000+00:00,2014,2,0.8547590436186723,0.994449114270555
561,2014-03-21 03:34:19.020000+00:00,2014,1,0.0309904330887129,0.07306116722540791
564,2014-03-26 02:28:45.330000+00:00,2014,1,0.3843448069936257,0.4264155411303207
565,2014-03-27 01:58:09.050000+00:00,2014,6,1.1862089866062313,1.2127465908249517
568,2014-03-29 13:02:21.960000+00:00,2014,4,0.5177665121606688,0.6311278293297651
569,2014-04-01 03:28:13.190000+00:00,2014,2,0.14794961632663645,0.3702918826378994
570,2014-04-01 08:12:36.890000+00:00,2014,6,0.7552904409196257,0.8675643054872675
571,2014-04-02 02:08:07.990000+00:00,2014,1,0.5154421165725405,0.5501433257714061
572,2014-04-07 02:33:06.790000+00:00,2014,2,2.4949969012563566,2.6346869719082395
573,2014-04-07 13:04:01.780000+00:00,2014,3,0.3537719053974408,0.3884731145963064
574,2014-04-07 17:03:43.460000+00:00,2014,4,0.8808929058398546,0.9402774393068631
575,2014-04-10 08:25:44.560000+00:00,2014,6,0.8707150742596999,0.9954380040557751
576,2014-04-12 07:22:21.440000+00:00,2014,4,0.683379817731744,0.7809228471889152
577,2014-04-13 21:32:15.920000+00:00,2014,4,0.4199564029572084,0.4583423746249887
578,2014-04-15 03:14:38.300000+00:00,2014,6,0.9609927564779273,0.9993787281457076
580,2014-04-22 15:56:06.810000+00:00,2014,1,0.0073877531459227,0.24469716031299316
581,2014-04-24 22:47:37.590000+00:00,2014,2,0.40655092773263013,0.5425562359155982
582,2014-04-25 00:14:11.910000+00:00,2014,3,0.5169789059672867,0.5590496401039817
584,2014-04-27 22:46:51.830000+00:00,2014,3,0.583746985246137,0.7126037952734623
585,2014-04-28 00:57:00.880000+00:00,2014,2,0.6056000154404939,0.7452900860923767
587,2014-04-28 10:58:14.220000+00:00,2014,4,0.45163986154392977,0.562636587867909
588,2014-04-29 00:37:11.020000+00:00,2014,5,0.9393150815084133,0.9813858156451083
589,2014-04-30 20:33:34.850000+00:00,2014,3,0.4989004870438882,0.6305913789389113
590,2014-05-04 23:00:57.300000+00:00,2014,6,0.8907674921216114,0.9366996837918682
592,2014-05-09 04:16:40.660000+00:00,2014,5,0.7553781871540242,0.9082671486768286
598,2014-05-25 03:14:09.580000+00:00,2014,2,-0.10257790575511615,0.037112164896766595
600,2014-05-25 23:20:10.290000+00:00,2014,3,0.6309135204467378,0.807905609341546
603,2014-06-01 03:08:34.680000+00:00,2014,3,0.0102411943324538,0.24755060149952426
606,2014-06-05 13:17:19.750000+00:00,2014,2,0.21671770138058585,0.3564077720324686
607,2014-06-05 19:48:18.690000+00:00,2014,2,0.4844266116436554,0.6241166822955382
609,2014-06-07 18:37:26.700000+00:00,2014,1,-0.2672357340341609,-0.02992632686709043
610,2014-06-07 18:54:58.820000+00:00,2014,5,0.1985282381438118,0.39969643035505337
611,2014-06-07 20:52:11.870000+00:00,2014,6,1.8496535019029334,1.9697492493260365
612,2014-06-08 03:17:19.530000+00:00,2014,2,-0.09874055889564669,0.040949511756236054
617,2014-06-18 09:52:45.160000+00:00,2014,2,0.0928957730851451,0.23258584373702784
618,2014-06-20 06:38:17.890000+00:00,2014,3,0.591928065044679,0.7993031905001344
619,2014-06-22 02:16:08.100000+00:00,2014,5,0.7024690480398732,0.9098441734953286
623,2014-06-24 20:18:48.110000+00:00,2014,5,0.6368783960723623,0.6911001808339532
626,2014-06-29 17:18:37.150000+00:00,2014,3,0.3309480654371939,0.3730187995738889
629,2014-07-06 11:02:32.610000+00:00,2014,3,0.407533822208971,0.45607474631473977
633,2014-07-12 22:48:01.720000+00:00,2014,4,0.4597422248008419,0.49812819646862216
637,2014-07-16 09:18:13.120000+00:00,2014,4,1.1661581588273924,1.305848229479275
638,2014-07-16 09:57:50.400000+00:00,2014,2,0.19198762966195196,0.32799293784492
640,2014-07-19 18:52:47.530000+00:00,2014,4,0.25298558414684336,0.29505631828353834
643,2014-07-26 20:35:13.550000+00:00,2014,2,-0.13400349760775146,0.005686573044131279
644,2014-07-28 12:29:08.610000+00:00,2014,4,0.7320766788703674,0.7741474130070625
645,2014-07-30 20:57:15.300000+00:00,2014,2,0.5378319184163182,0.6775219890682009
646,2014-07-30 21:54:16.440000+00:00,2014,4,0.7012985696450875,0.7396845413128679
647,2014-07-31 00:09:27.560000+00:00,2014,3,0.7471002171947645,0.7891709513314595
648,2014-07-31 03:13:05.690000+00:00,2014,3,0.8038518567353192,0.8708234197322682
652,2014-08-12 18:31:10.920000+00:00,2014,4,0.23918512775410836,0.3639080575501836
653,2014-08-13 02:24:15.650000+00:00,2014,3,0.6171186150252546,0.6591893491619496
654,2014-08-15 09:28:46.250000+00:00,2014,4,0.3873179036667024,0.5109288759338462
655,2014-08-25 15:19:34.830000+00:00,2014,3,0.3747464139864116,0.5713933810685006
657,2014-08-30 03:01:12.120000+00:00,2014,4,0.2935548532520502,0.42956016143501824
663,2014-09-08 15:24:00.450000+00:00,2014,6,2.6220330247469925,2.6641037588836873
664,2014-09-11 19:03:28.580000+00:00,2014,1,-0.2145552261352099,0.022754181031860582
667,2014-09-16 21:01:12.140000+00:00,2014,1,-0.3255135504347084,-0.08820414326763795
668,2014-09-19 17:45:04.440000+00:00,2014,5,0.7212454464754707,0.6969743272716062
670,2014-09-19 18:18:58.290000+00:00,2014,3,0.3483425099206405,0.39041324405733546
671,2014-09-19 18:29:51.720000+00:00,2014,1,0.101153764632851,0.13585497383171663
674,2014-09-20 13:06:34.560000+00:00,2014,3,0.4601679858682672,0.5022387200049622
675,2014-09-20 14:33:45.100000+00:00,2014,6,1.0116422840920247,1.0733724106204217
676,2014-09-20 17:30:02.190000+00:00,2014,2,-0.1960971865385429,-0.05640711588666016
677,2014-09-21 12:21:36.270000+00:00,2014,3,0.2531059478581261,0.2951766819948211
678,2014-09-21 12:23:24.540000+00:00,2014,6,1.1131799024814075,1.081240172917585
679,2014-09-21 12:24:05.490000+00:00,2014,6,0.9176231414799063,0.9596938756166014
680,2014-09-21 12:25:03.200000+00:00,2014,5,0.8922769446804839,0.934347678817179
681,2014-09-21 12:26:20.430000+00:00,2014,6,0.7476840527866617,0.7860700244544421
