net,sta,start,end,n_days,source
KS,DAG2,2011-03-25 00:00:00,2011-03-25 00:00:00,1,NECIS
KS,DAG2,2011-04-04 00:00:00,2011-04-05 00:00:00,2,NECIS
KS,DAG2,2011-04-10 00:00:00,2011-04-11 00:00:00,2,NECIS
KS,DAG2,2011-04-16 00:00:00,2011-04-16 00:00:00,1,NECIS
KS,DAG2,2011-04-21 00:00:00,2011-04-21 00:00:00,1,NECIS
KS,DAG2,2011-04-26 00:00:00,2011-04-26 00:00:00,1,NECIS
KS,DAG2,2011-05-25 00:00:00,2011-05-25 00:00:00,1,NECIS
KS,DAG2,2011-06-07 00:00:00,2011-06-07 00:00:00,1,NECIS
KS,DAG2,2011-08-03 00:00:00,2011-08-03 00:00:00,1,NECIS
KS,DAG2,2011-08-13 00:00:00,2011-08-15 00:00:00,3,NECIS
KS,DAG2,2011-08-20 00:00:00,2011-08-21 00:00:00,2,NECIS
KS,DAG2,2011-08-26 00:00:00,2011-08-27 00:00:00,2,NECIS
KS,DAG2,2011-09-01 00:00:00,2011-09-02 00:00:00,2,NECIS
KS,DAG2,2011-09-07 00:00:00,2011-09-07 00:00:00,1,NECIS
KS,DAG2,2011-09-11 00:00:00,2011-09-12 00:00:00,2,NECIS
KS,DAG2,2011-09-17 00:00:00,2011-09-17 00:00:00,1,NECIS
KS,DAG2,2011-09-21 00:00:00,2011-09-21 00:00:00,1,NECIS
KS,DAG2,2011-09-26 00:00:00,2011-09-27 00:00:00,2,NECIS
KS,DAG2,2011-10-05 00:00:00,2011-10-05 00:00:00,1,NECIS
KS,DAG2,2011-10-23 00:00:00,2011-10-26 00:00:00,4,NECIS
KS,DAG2,2011-10-30 00:00:00,2011-11-04 00:00:00,6,NECIS
KS,DAG2,2011-11-08 00:00:00,2011-11-12 00:00:00,5,NECIS
KS,DAG2,2011-11-16 00:00:00,2011-11-20 00:00:00,5,NECIS
KS,DAG2,2011-11-24 00:00:00,2011-11-26 00:00:00,3,NECIS
KS,DAG2,2011-12-01 00:00:00,2011-12-03 00:00:00,3,NECIS
KS,DAG2,2011-12-08 00:00:00,2011-12-09 00:00:00,2,NECIS
KS,DAG2,2011-12-14 00:00:00,2011-12-15 00:00:00,2,NECIS
KS,DAG2,2011-12-19 00:00:00,2011-12-21 00:00:00,3,NECIS
KS,DAG2,2011-12-25 00:00:00,2011-12-27 00:00:00,3,NECIS
KS,DAG2,2011-12-30 00:00:00,2011-12-31 00:00:00,2,NECIS
KS,DAG2,2012-01-04 00:00:00,2012-01-04 00:00:00,1,NECIS
KS,DAG2,2012-01-27 00:00:00,2012-01-30 00:00:00,4,NECIS
KS,DAG2,2012-02-03 00:00:00,2012-02-06 00:00:00,4,NECIS
KS,DAG2,2012-02-10 00:00:00,2012-02-13 00:00:00,4,NECIS
KS,DAG2,2012-02-17 00:00:00,2012-02-20 00:00:00,4,NECIS
KS,DAG2,2012-02-24 00:00:00,2012-02-26 00:00:00,3,NECIS
KS,DAG2,2012-02-29 00:00:00,2012-03-05 00:00:00,6,NECIS
KS,DAG2,2012-03-09 00:00:00,2012-03-11 00:00:00,3,NECIS
KS,DAG2,2012-03-15 00:00:00,2012-03-18 00:00:00,4,NECIS
KS,DAG2,2012-03-22 00:00:00,2012-03-24 00:00:00,3,NECIS
KS,DAG2,2012-03-28 00:00:00,2012-03-29 00:00:00,2,NECIS
KS,DAG2,2012-04-25 00:00:00,2012-04-26 00:00:00,2,NECIS
KS,DAG2,2012-05-01 00:00:00,2012-05-01 00:00:00,1,NECIS
KS,DAG2,2012-05-06 00:00:00,2012-05-06 00:00:00,1,NECIS
KS,DAG2,2012-05-19 00:00:00,2012-05-19 00:00:00,1,NECIS
KS,DAG2,2012-05-25 00:00:00,2012-05-26 00:00:00,2,NECIS
KS,DAG2,2012-05-30 00:00:00,2012-05-31 00:00:00,2,NECIS
KS,DAG2,2012-06-05 00:00:00,2012-06-08 00:00:00,4,NECIS
KS,DAG2,2012-06-13 00:00:00,2012-06-16 00:00:00,4,NECIS
